[run number],maximum-sugar-endowment,minimum-sugar-endowment,visualization,taxation,redistribution,initial-population,[step],avg-gini,starvation,avg-productivity,total-wealth,avg-diff
1,0,0,color-agents-by-decile,uniform-collection,dynamic,400,0,0.0257434007715886,0,214.204975,85466,0.12
2,0,10,color-agents-by-decile,uniform-collection,dynamic,400,0,0,0,0,0,0
3,0,20,color-agents-by-decile,uniform-collection,dynamic,400,0,0,0,0,0,0
4,0,30,color-agents-by-decile,uniform-collection,dynamic,400,0,0,0,0,0,0
5,0,40,color-agents-by-decile,uniform-collection,dynamic,400,0,0,0,0,0,0
6,0,50,color-agents-by-decile,uniform-collection,dynamic,400,0,0,0,0,0,0
7,0,60,color-agents-by-decile,uniform-collection,dynamic,400,0,0,0,0,0,0
8,0,70,color-agents-by-decile,uniform-collection,dynamic,400,0,0,0,0,0,0
9,0,80,color-agents-by-decile,uniform-collection,dynamic,400,0,0,0,0,0,0
10,0,90,color-agents-by-decile,uniform-collection,dynamic,400,0,0,0,0,0,0
11,0,100,color-agents-by-decile,uniform-collection,dynamic,400,0,0,0,0,0,0
12,0,110,color-agents-by-decile,uniform-collection,dynamic,400,0,0,0,0,0,0
13,0,120,color-agents-by-decile,uniform-collection,dynamic,400,0,0,0,0,0,0
14,0,130,color-agents-by-decile,uniform-collection,dynamic,400,0,0,0,0,0,0
15,0,140,color-agents-by-decile,uniform-collection,dynamic,400,0,0,0,0,0,0
16,0,150,color-agents-by-decile,uniform-collection,dynamic,400,0,0,0,0,0,0
17,0,160,color-agents-by-decile,uniform-collection,dynamic,400,0,0,0,0,0,0
18,0,170,color-agents-by-decile,uniform-collection,dynamic,400,0,0,0,0,0,0
19,0,180,color-agents-by-decile,uniform-collection,dynamic,400,0,0,0,0,0,0
20,0,190,color-agents-by-decile,uniform-collection,dynamic,400,0,0,0,0,0,0
21,0,200,color-agents-by-decile,uniform-collection,dynamic,400,0,0,0,0,0,0
22,10,0,color-agents-by-decile,uniform-collection,dynamic,400,1000,0.123897901954595,785,17.1617,6451,-0.06
23,10,10,color-agents-by-decile,uniform-collection,dynamic,400,0,0.0257434007715886,0,214.204975,85466,0.12
24,10,20,color-agents-by-decile,uniform-collection,dynamic,400,0,0.0257434007715886,0,214.204975,85466,0.12
25,10,30,color-agents-by-decile,uniform-collection,dynamic,400,0,0.0257434007715886,0,214.204975,85466,0.12
26,10,40,color-agents-by-decile,uniform-collection,dynamic,400,0,0.0257434007715886,0,214.204975,85466,0.12
27,10,50,color-agents-by-decile,uniform-collection,dynamic,400,0,0.0257434007715886,0,214.204975,85466,0.12
28,10,60,color-agents-by-decile,uniform-collection,dynamic,400,0,0.0257434007715886,0,214.204975,85466,0.12
29,10,70,color-agents-by-decile,uniform-collection,dynamic,400,0,0.0257434007715886,0,214.204975,85466,0.12
30,10,80,color-agents-by-decile,uniform-collection,dynamic,400,0,0.0257434007715886,0,214.204975,85466,0.12
31,10,90,color-agents-by-decile,uniform-collection,dynamic,400,0,0.0257434007715886,0,214.204975,85466,0.12
32,10,100,color-agents-by-decile,uniform-collection,dynamic,400,0,0.0257434007715886,0,214.204975,85466,0.12
33,10,110,color-agents-by-decile,uniform-collection,dynamic,400,0,0.0257434007715886,0,214.204975,85466,0.12
34,10,120,color-agents-by-decile,uniform-collection,dynamic,400,0,0.0257434007715886,0,214.204975,85466,0.12
35,10,130,color-agents-by-decile,uniform-collection,dynamic,400,0,0.0257434007715886,0,214.204975,85466,0.12
36,10,140,color-agents-by-decile,uniform-collection,dynamic,400,0,0.0257434007715886,0,214.204975,85466,0.12
37,10,150,color-agents-by-decile,uniform-collection,dynamic,400,0,0.0257434007715886,0,214.204975,85466,0.12
38,10,160,color-agents-by-decile,uniform-collection,dynamic,400,0,0.0257434007715886,0,214.204975,85466,0.12
39,10,170,color-agents-by-decile,uniform-collection,dynamic,400,0,0.0257434007715886,0,214.204975,85466,0.12
40,10,180,color-agents-by-decile,uniform-collection,dynamic,400,0,0.0257434007715886,0,214.204975,85466,0.12
41,10,190,color-agents-by-decile,uniform-collection,dynamic,400,0,0.0257434007715886,0,214.204975,85466,0.12
42,10,200,color-agents-by-decile,uniform-collection,dynamic,400,0,0.0257434007715886,0,214.204975,85466,0.12
43,20,0,color-agents-by-decile,uniform-collection,dynamic,400,1000,0.103567318814361,372,18.45,7182,-0.075
44,20,10,color-agents-by-decile,uniform-collection,dynamic,400,1000,0.0798686102377884,0,21.9411,9848,-0.19
45,20,20,color-agents-by-decile,uniform-collection,dynamic,400,0,0.123897901954595,785,17.1617,6451,-0.06
46,20,30,color-agents-by-decile,uniform-collection,dynamic,400,0,0.123897901954595,785,17.1617,6451,-0.06
47,20,40,color-agents-by-decile,uniform-collection,dynamic,400,0,0.123897901954595,785,17.1617,6451,-0.06
48,20,50,color-agents-by-decile,uniform-collection,dynamic,400,0,0.123897901954595,785,17.1617,6451,-0.06
49,20,60,color-agents-by-decile,uniform-collection,dynamic,400,0,0.123897901954595,785,17.1617,6451,-0.06
50,20,70,color-agents-by-decile,uniform-collection,dynamic,400,0,0.123897901954595,785,17.1617,6451,-0.06
51,20,80,color-agents-by-decile,uniform-collection,dynamic,400,0,0.123897901954595,785,17.1617,6451,-0.06
52,20,90,color-agents-by-decile,uniform-collection,dynamic,400,0,0.123897901954595,785,17.1617,6451,-0.06
53,20,100,color-agents-by-decile,uniform-collection,dynamic,400,0,0.123897901954595,785,17.1617,6451,-0.06
54,20,110,color-agents-by-decile,uniform-collection,dynamic,400,0,0.123897901954595,785,17.1617,6451,-0.06
