[run number],maximum-sugar-endowment,minimum-sugar-endowment,visualization,taxation,redistribution,initial-population,[step],avg-gini,starvation,avg-productivity,total-wealth,avg-diff
53,20,100,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.104445808410203,302,19.76705,8098,-0.91
54,20,110,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.104445808410203,302,19.76705,8098,-0.91
55,20,120,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.104445808410203,302,19.76705,8098,-0.91
56,20,130,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.104445808410203,302,19.76705,8098,-0.91
57,20,140,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.104445808410203,302,19.76705,8098,-0.91
58,20,150,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.104445808410203,302,19.76705,8098,-0.91
59,20,160,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.104445808410203,302,19.76705,8098,-0.91
60,20,170,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.104445808410203,302,19.76705,8098,-0.91
61,20,180,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.104445808410203,302,19.76705,8098,-0.91
62,20,190,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.104445808410203,302,19.76705,8098,-0.91
63,20,200,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.104445808410203,302,19.76705,8098,-0.91
64,30,0,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0885326560461944,194,26.2474,9128,-1.085
65,30,10,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0895836662521226,0,32.053225,12746,-1.42
66,30,20,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.070951334492829,0,38.801525,14990,-1.25
67,30,30,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0895836662521226,0,32.053225,12746,-1.42
68,30,40,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0895836662521226,0,32.053225,12746,-1.42
69,30,50,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0895836662521226,0,32.053225,12746,-1.42
70,30,60,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0895836662521226,0,32.053225,12746,-1.42
71,30,70,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0895836662521226,0,32.053225,12746,-1.42
72,30,80,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0895836662521226,0,32.053225,12746,-1.42
73,30,90,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0895836662521226,0,32.053225,12746,-1.42
74,30,100,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0895836662521226,0,32.053225,12746,-1.42
