maximum-sugar-endowment,minimum-sugar-endowment,taxation,redistribution,avg-gini,starvation,avg-wealth,total-wealth,avg-diff,etiqueta
73,10,uniform-collection,uniform,0.316621853593149,21723,28.19951,11230,1.48052,4.0
74,10,uniform-collection,uniform,0.318478221736732,21383,28.347755,11285,1.494885,4.0
75,10,uniform-collection,uniform,0.316083670824066,20958,28.721615,11361,1.51077,4.0
76,10,uniform-collection,uniform,0.317558831723144,21178,29.06988,12012,1.54298,4.0
77,10,uniform-collection,uniform,0.315984986258541,20963,29.537245,11182,1.55305,4.0
78,10,uniform-collection,uniform,0.314605312488567,20562,29.732425,11429,1.534695,4.0
79,10,uniform-collection,uniform,0.318561633169483,20575,30.00901,11296,1.60417,4.0
80,10,uniform-collection,uniform,0.312958621930919,20357,30.84151,12474,1.583325,4.0
81,10,uniform-collection,uniform,0.314468773003187,19708,30.715015,12152,1.614245,4.0
82,10,uniform-collection,uniform,0.316226001089653,19080,30.44117,12038,1.63424,4.0
83,10,uniform-collection,uniform,0.319201288440218,19275,30.29338,11508,1.62551,4.0
84,10,uniform-collection,uniform,0.318172711338643,19042,31.09381,11607,1.697835,4.0
85,10,uniform-collection,uniform,0.319648368015478,18673,31.34888,12351,1.698645,4.0
86,10,uniform-collection,uniform,0.314746562972892,18142,31.81618,13966,1.702445,4.0
87,10,uniform-collection,uniform,0.31214252368666,17839,33.0408,13147,1.742915,4.0
88,10,uniform-collection,uniform,0.314768692740664,17711,32.4837,13058,1.729915,4.0
89,10,uniform-collection,uniform,0.315420865826037,17524,32.672615,13299,1.77674,4.0
90,10,uniform-collection,uniform,0.315379109819057,17190,33.288705,13050,1.78807,4.0
91,10,uniform-collection,uniform,0.319160577742296,16821,32.742555,13531,1.76407,4.0
92,10,uniform-collection,uniform,0.316751745431449,17101,33.896795,14335,1.828795,4.0
93,10,uniform-collection,uniform,0.316647664876892,16503,33.83932,13552,1.800355,4.0
94,10,uniform-collection,uniform,0.318951480205825,16115,33.96308,13850,1.863255,4.0
95,10,uniform-collection,uniform,0.318439747341484,16194,33.992605,13653,1.864195,4.0
96,10,uniform-collection,uniform,0.316230865930071,16015,34.21875,14354,1.846005,4.0
97,10,uniform-collection,uniform,0.317554985191276,15945,34.692975,14588,1.87207,4.0
98,10,uniform-collection,uniform,0.31907155153315,15821,34.961245,13953,1.89782,4.0
99,10,uniform-collection,uniform,0.321906090720489,15522,35.099195,13741,1.915365,4.0
100,10,uniform-collection,uniform,0.316763788994953,15232,35.853725,13535,1.90619,4.0
101,10,uniform-collection,uniform,0.32136921200331,15376,35.296345,14175,1.93154,4.0
102,10,uniform-collection,uniform,0.318158389680133,15106,35.83745,15136,1.95268,4.0
103,10,uniform-collection,uniform,0.319614651564378,14744,35.6936,15125,1.97091,4.0
104,10,uniform-collection,uniform,0.323026329144972,14558,36.42284,14784,1.982745,4.0
105,10,uniform-collection,uniform,0.317628180151104,14298,36.99676,14771,1.978465,4.0
106,10,uniform-collection,uniform,0.320157888301853,14201,36.523555,14558,1.97647,4.0
107,10,uniform-collection,uniform,0.317386087530313,13755,37.211415,15374,1.97845,4.0
108,10,uniform-collection,uniform,0.317438000861381,13548,37.67034,15247,2.00417,4.0
109,10,uniform-collection,uniform,0.322520623057774,13356,37.415105,14685,2.030215,4.0
110,10,uniform-collection,uniform,0.319382419209582,13323,37.6621,15240,2.014265,4.0
111,10,uniform-collection,uniform,0.321528039133035,13069,38.0991,14547,2.051045,4.0
112,10,uniform-collection,uniform,0.320999670829999,12918,38.294615,15393,2.077655,4.0
113,10,uniform-collection,uniform,0.325315364734312,12709,38.45956,15410,2.07905,4.0
114,10,uniform-collection,uniform,0.324676595123646,12659,38.24301,15600,2.07459,4.0
115,10,uniform-collection,uniform,0.32380794839085,12397,38.37759,15158,2.078205,4.0
116,10,uniform-collection,uniform,0.326618672794711,12642,38.754555,14975,2.141305,4.0
117,10,uniform-collection,uniform,0.329544305156934,12332,38.55634,15533,2.137205,4.0
118,10,uniform-collection,uniform,0.327730962463516,12325,39.08562,15563,2.169755,4.0
119,10,uniform-collection,uniform,0.327375731288662,12239,39.263805,15517,2.17177,4.0
120,10,uniform-collection,uniform,0.32922709023403,12258,39.720695,16303,2.200955,4.0
121,10,uniform-collection,uniform,0.331133611481028,12044,39.410365,15228,2.209445,4.0
122,10,uniform-collection,uniform,0.32824111511066,11980,40.04339,15950,2.212025,4.0
123,10,uniform-collection,uniform,0.330472639426741,11871,40.143275,16711,2.213315,4.0
124,10,uniform-collection,uniform,0.328798091895649,11957,40.324875,15649,2.237965,4.0
125,10,uniform-collection,uniform,0.33256997807098,11892,40.33351,15186,2.248355,4.0
126,10,uniform-collection,uniform,0.333205225318682,11833,40.26882,16180,2.282985,4.0
127,10,uniform-collection,uniform,0.335091967783487,11909,40.8693,17150,2.31938,4.0
128,10,uniform-collection,uniform,0.331977195322783,11739,40.6550800000001,16002,2.26161,4.0
129,10,uniform-collection,uniform,0.333690817052656,11521,41.191305,17422,2.29844,4.0
130,10,uniform-collection,uniform,0.333191572542728,11399,41.215985,15569,2.31953,4.0
131,10,uniform-collection,uniform,0.334659010394062,11329,41.79187,16596,2.33348,4.0
132,10,uniform-collection,uniform,0.339752951984265,11383,41.206505,15803,2.354375,4.0
133,10,uniform-collection,uniform,0.34010478705598,11102,40.9668349999999,16939,2.34072,4.0
134,10,uniform-collection,uniform,0.336829848842056,11146,42.256255,16060,2.342185,4.0
135,10,uniform-collection,uniform,0.336386499135148,10975,42.483345,17803,2.37743,4.0
136,10,uniform-collection,uniform,0.338802961266639,10884,42.69069,17732,2.39975,4.0
137,10,uniform-collection,uniform,0.337438876398738,10643,42.496725,17016,2.369725,4.0
138,10,uniform-collection,uniform,0.337518885103603,10567,43.176895,17902,2.384315,4.0
139,10,uniform-collection,uniform,0.337949396812443,10340,42.978315,16623,2.40322,4.0
140,10,uniform-collection,uniform,0.341051203357008,10015,43.204245,18177,2.39854,4.0
141,10,uniform-collection,uniform,0.338394207762057,9796,43.848345,17683,2.407515,4.0
142,10,uniform-collection,uniform,0.340222351412576,9868,43.817545,17158,2.44415,4.0
143,10,uniform-collection,uniform,0.339267817115907,9658,43.9634249999999,17527,2.419345,4.0
144,10,uniform-collection,uniform,0.334687171287076,9298,44.62864,16953,2.41141,4.0
145,10,uniform-collection,uniform,0.341119839937547,9343,44.30494,18573,2.42297,4.0
146,10,uniform-collection,uniform,0.334601134336159,8918,45.514595,17789,2.42132,4.0
147,10,uniform-collection,uniform,0.334570918469196,8871,45.2800600000001,18442,2.40447,4.0
148,10,uniform-collection,uniform,0.338919036218325,8652,45.1667150000001,18041,2.424055,4.0
149,10,uniform-collection,uniform,0.338875290011259,8722,45.61061,19206,2.483995,4.0
150,10,uniform-collection,uniform,0.339852897420227,8387,45.32576,18332,2.47267,4.0
151,10,uniform-collection,uniform,0.336593552238017,8458,45.956785,18202,2.508945,4.0
152,10,uniform-collection,uniform,0.332882654448426,8017,46.562895,17971,2.420075,4.0
153,10,uniform-collection,uniform,0.338378541764795,7871,46.29168,18745,2.44661,4.0
154,10,uniform-collection,uniform,0.335395974424281,7684,47.3084599999999,18546,2.47295,4.0
