maximum-sugar-endowment,minimum-sugar-endowment,taxation,redistribution,avg-gini,starvation,avg-wealth,total-wealth,avg-diff,etiqueta
75,10,linear-collection,uniform,0.243052234619922,18528,19.18657,7962,1.717605,1.0
76,10,linear-collection,uniform,0.242990171736308,18209,19.255635,7910,1.753985,1.0
77,10,linear-collection,uniform,0.243925401565525,18349,19.278115,8080,1.73016,1.0
78,10,linear-collection,uniform,0.245964538920075,18136,19.54048,7947,1.758585,1.0
79,10,linear-collection,uniform,0.245177325687933,18328,19.457615,7709,1.75984,1.0
80,10,linear-collection,uniform,0.250855392661888,17989,19.62371,7873,1.781125,1.0
81,10,linear-collection,uniform,0.254331842006748,17937,19.656845,7807,1.81226,1.0
82,10,linear-collection,uniform,0.250418007969888,17858,19.897925,7945,1.8164,1.0
83,10,linear-collection,poorest,0.24002574363861,922,15.26499,5357,1.4675,2.0
84,10,linear-collection,uniform,0.252336084706097,17747,20.064015,7695,1.834465,1.0
85,10,linear-collection,uniform,0.260826065137026,17627,19.838245,8030,1.87961,1.0
86,10,dynamic-collection,linear,0.255228124074584,9071,13.821165,5266,1.373885,9.0
87,10,dynamic-collection,linear,0.249419076191992,8932,14.086985,5455,1.373585,9.0
88,10,linear-collection,uniform,0.262570654457043,17152,20.31424,8527,1.91548,1.0
89,10,linear-collection,uniform,0.256964315367603,16889,20.686545,8108,1.874115,1.0
90,10,linear-collection,poorest,0.253327312257329,694,15.570475,6062,1.597435,2.0
91,10,dynamic-collection,linear,0.250587699968046,8218,14.189745,6283,1.41588,9.0
92,10,linear-collection,uniform,0.265788152372781,16158,20.629295,8743,1.931935,1.0
93,10,linear-collection,poorest,0.258268103297708,632,15.949375,6162,1.7076,2.0
94,10,dynamic-collection,linear,0.263387701288763,7564,13.73733,5680,1.46901,9.0
95,10,linear-collection,poorest,0.264390232706301,624,15.99394,5514,1.72653,2.0
96,10,dynamic-collection,linear,0.262494592583272,7403,13.893385,5668,1.48831,9.0
97,10,linear-collection,poorest,0.249807163769997,564,16.542385,6570,1.793585,2.0
98,10,linear-collection,poorest,0.246959787092859,535,16.85433,6763,1.84447,2.0
99,10,linear-collection,poorest,0.254060125757795,580,16.793465,7528,1.859345,2.0
100,10,linear-collection,poorest,0.239800267362057,488,17.293,6930,1.8731,2.0
101,10,linear-collection,poorest,0.238263713471638,492,17.56205,6987,1.9194,2.0
102,10,linear-collection,poorest,0.250113151688879,367,17.08432,7744,1.906995,2.0
103,10,linear-collection,poorest,0.246690692559078,361,17.21363,7019,1.898085,2.0
104,10,linear-collection,poorest,0.233234958407573,355,18.015085,6818,1.969635,2.0
105,10,linear-collection,poorest,0.2459007101802,262,17.491485,6361,1.9913,2.0
106,10,linear-collection,poorest,0.248647613768109,234,17.471645,6893,1.996945,2.0
107,10,linear-collection,poorest,0.247771906366659,245,17.845815,6709,2.031365,2.0
108,10,linear-collection,poorest,0.24476085426189,170,17.96485,8377,2.050155,2.0
109,10,linear-collection,poorest,0.232369885025151,130,18.43957,8342,2.075905,2.0
110,10,linear-collection,poorest,0.235615379730849,100,18.463055,7653,2.13736,2.0
111,10,linear-collection,poorest,0.240483680177529,110,18.424355,8092,2.13643,2.0
