[run number],maximum-sugar-endowment,minimum-sugar-endowment,visualization,taxation,redistribution,initial-population,[step],avg-gini,starvation,avg-productivity,total-wealth
128,60,10,color-agents-by-decile,uniform-collection,UBI,400,1000,0.124822418636096,3,49.843125,19063
129,60,20,color-agents-by-decile,uniform-collection,UBI,400,1000,0.114701206619836,0,51.335625,20930
130,60,30,color-agents-by-decile,uniform-collection,UBI,400,1000,0.102471904515254,0,55.5452,22648
131,60,40,color-agents-by-decile,uniform-collection,UBI,400,1000,0.0898155948589745,0,60.884675,24367
132,60,50,color-agents-by-decile,uniform-collection,UBI,400,1000,0.0821212434923951,0,66.5775,26906
133,60,60,color-agents-by-decile,uniform-collection,UBI,400,0,0.0898155948589745,0,60.884675,24367
134,60,70,color-agents-by-decile,uniform-collection,UBI,400,0,0.0898155948589745,0,60.884675,24367
135,60,80,color-agents-by-decile,uniform-collection,UBI,400,0,0.0898155948589745,0,60.884675,24367
136,60,90,color-agents-by-decile,uniform-collection,UBI,400,0,0.0898155948589745,0,60.884675,24367
137,60,100,color-agents-by-decile,uniform-collection,UBI,400,0,0.0898155948589745,0,60.884675,24367
138,60,110,color-agents-by-decile,uniform-collection,UBI,400,0,0.0898155948589745,0,60.884675,24367
139,60,120,color-agents-by-decile,uniform-collection,UBI,400,0,0.0898155948589745,0,60.884675,24367
140,60,130,color-agents-by-decile,uniform-collection,UBI,400,0,0.0898155948589745,0,60.884675,24367
141,60,140,color-agents-by-decile,uniform-collection,UBI,400,0,0.0898155948589745,0,60.884675,24367
142,60,150,color-agents-by-decile,uniform-collection,UBI,400,0,0.0898155948589745,0,60.884675,24367
143,60,160,color-agents-by-decile,uniform-collection,UBI,400,0,0.0898155948589745,0,60.884675,24367
144,60,170,color-agents-by-decile,uniform-collection,UBI,400,0,0.0898155948589745,0,60.884675,24367
145,60,180,color-agents-by-decile,uniform-collection,UBI,400,0,0.0898155948589745,0,60.884675,24367
146,60,190,color-agents-by-decile,uniform-collection,UBI,400,0,0.0898155948589745,0,60.884675,24367
147,60,200,color-agents-by-decile,uniform-collection,UBI,400,0,0.0898155948589745,0,60.884675,24367
148,70,0,color-agents-by-decile,uniform-collection,UBI,400,1000,0.135721894627577,5,49.544275,19110
149,70,10,color-agents-by-decile,uniform-collection,UBI,400,1000,0.117187869045053,0,51.49005,21178
150,70,20,color-agents-by-decile,uniform-collection,UBI,400,1000,0.101279007762786,0,58.5887,23117
151,70,30,color-agents-by-decile,uniform-collection,UBI,400,1000,0.0934432341373658,0,60.764475,23894
152,70,40,color-agents-by-decile,uniform-collection,UBI,400,1000,0.083974453268878,0,66.8297,26638
153,70,50,color-agents-by-decile,uniform-collection,UBI,400,1000,0.0775989089243658,0,73.897125,29335
