[run number],maximum-sugar-endowment,minimum-sugar-endowment,visualization,taxation,redistribution,initial-population,[step],avg-gini,starvation,avg-productivity,total-wealth
61,20,180,color-agents-by-decile,linear-collection,linear,400,0,0.0756387335935468,232,24.42855,9082
62,20,190,color-agents-by-decile,linear-collection,linear,400,0,0.0756387335935468,232,24.42855,9082
63,20,200,color-agents-by-decile,linear-collection,linear,400,0,0.0756387335935468,232,24.42855,9082
64,30,0,color-agents-by-decile,linear-collection,linear,400,1000,0.0765395073843531,147,31.798125,11827
65,30,10,color-agents-by-decile,linear-collection,linear,400,1000,0.0753884467454687,0,33.89345,13195
66,30,20,color-agents-by-decile,linear-collection,linear,400,1000,0.0756123058790705,0,37.13165,14614
67,30,30,color-agents-by-decile,linear-collection,linear,400,0,0.0753884467454687,0,33.89345,13195
68,30,40,color-agents-by-decile,linear-collection,linear,400,0,0.0753884467454687,0,33.89345,13195
69,30,50,color-agents-by-decile,linear-collection,linear,400,0,0.0753884467454687,0,33.89345,13195
70,30,60,color-agents-by-decile,linear-collection,linear,400,0,0.0753884467454687,0,33.89345,13195
71,30,70,color-agents-by-decile,linear-collection,linear,400,0,0.0753884467454687,0,33.89345,13195
72,30,80,color-agents-by-decile,linear-collection,linear,400,0,0.0753884467454687,0,33.89345,13195
73,30,90,color-agents-by-decile,linear-collection,linear,400,0,0.0753884467454687,0,33.89345,13195
74,30,100,color-agents-by-decile,linear-collection,linear,400,0,0.0753884467454687,0,33.89345,13195
75,30,110,color-agents-by-decile,linear-collection,linear,400,0,0.0753884467454687,0,33.89345,13195
76,30,120,color-agents-by-decile,linear-collection,linear,400,0,0.0753884467454687,0,33.89345,13195
77,30,130,color-agents-by-decile,linear-collection,linear,400,0,0.0753884467454687,0,33.89345,13195
78,30,140,color-agents-by-decile,linear-collection,linear,400,0,0.0753884467454687,0,33.89345,13195
79,30,150,color-agents-by-decile,linear-collection,linear,400,0,0.0753884467454687,0,33.89345,13195
80,30,160,color-agents-by-decile,linear-collection,linear,400,0,0.0753884467454687,0,33.89345,13195
81,30,170,color-agents-by-decile,linear-collection,linear,400,0,0.0753884467454687,0,33.89345,13195
82,30,180,color-agents-by-decile,linear-collection,linear,400,0,0.0753884467454687,0,33.89345,13195
83,30,190,color-agents-by-decile,linear-collection,linear,400,0,0.0753884467454687,0,33.89345,13195
84,30,200,color-agents-by-decile,linear-collection,linear,400,0,0.0753884467454687,0,33.89345,13195
85,40,0,color-agents-by-decile,linear-collection,linear,400,1000,0.0795140453110351,101,36.3939,14085
86,40,10,color-agents-by-decile,linear-collection,linear,400,1000,0.076695442098355,0,36.480525,14147
87,40,20,color-agents-by-decile,linear-collection,linear,400,1000,0.0747082743454991,0,40.725875,16846
88,40,30,color-agents-by-decile,linear-collection,linear,400,1000,0.0766867241709068,0,50.677975,19171
89,40,40,color-agents-by-decile,linear-collection,linear,400,0,0.0747082743454991,0,40.725875,16846
90,40,50,color-agents-by-decile,linear-collection,linear,400,0,0.0747082743454991,0,40.725875,16846
91,40,60,color-agents-by-decile,linear-collection,linear,400,0,0.0747082743454991,0,40.725875,16846
92,40,70,color-agents-by-decile,linear-collection,linear,400,0,0.0747082743454991,0,40.725875,16846
93,40,80,color-agents-by-decile,linear-collection,linear,400,0,0.0747082743454991,0,40.725875,16846
94,40,90,color-agents-by-decile,linear-collection,linear,400,0,0.0747082743454991,0,40.725875,16846
95,40,100,color-agents-by-decile,linear-collection,linear,400,0,0.0747082743454991,0,40.725875,16846
96,40,110,color-agents-by-decile,linear-collection,linear,400,0,0.0747082743454991,0,40.725875,16846
97,40,120,color-agents-by-decile,linear-collection,linear,400,0,0.0747082743454991,0,40.725875,16846
98,40,130,color-agents-by-decile,linear-collection,linear,400,0,0.0747082743454991,0,40.725875,16846
99,40,140,color-agents-by-decile,linear-collection,linear,400,0,0.0747082743454991,0,40.725875,16846
100,40,150,color-agents-by-decile,linear-collection,linear,400,0,0.0747082743454991,0,40.725875,16846
101,40,160,color-agents-by-decile,linear-collection,linear,400,0,0.0747082743454991,0,40.725875,16846
102,40,170,color-agents-by-decile,linear-collection,linear,400,0,0.0747082743454991,0,40.725875,16846
103,40,180,color-agents-by-decile,linear-collection,linear,400,0,0.0747082743454991,0,40.725875,16846
104,40,190,color-agents-by-decile,linear-collection,linear,400,0,0.0747082743454991,0,40.725875,16846
105,40,200,color-agents-by-decile,linear-collection,linear,400,0,0.0747082743454991,0,40.725875,16846
106,50,0,color-agents-by-decile,linear-collection,linear,400,1000,0.0778273505344817,64,38.17315,14534
107,50,10,color-agents-by-decile,linear-collection,linear,400,1000,0.0751646862668658,0,39.66385,16033
108,50,20,color-agents-by-decile,linear-collection,linear,400,1000,0.0761381022115413,0,47.069875,19452
109,50,30,color-agents-by-decile,linear-collection,linear,400,1000,0.0757209607308714,0,54.10135,20745
110,50,40,color-agents-by-decile,linear-collection,linear,400,1000,0.0769004144435666,0,57.883775,22971
111,50,50,color-agents-by-decile,linear-collection,linear,400,0,0.0757209607308714,0,54.10135,20745
112,50,60,color-agents-by-decile,linear-collection,linear,400,0,0.0757209607308714,0,54.10135,20745
113,50,70,color-agents-by-decile,linear-collection,linear,400,0,0.0757209607308714,0,54.10135,20745
114,50,80,color-agents-by-decile,linear-collection,linear,400,0,0.0757209607308714,0,54.10135,20745
115,50,90,color-agents-by-decile,linear-collection,linear,400,0,0.0757209607308714,0,54.10135,20745
116,50,100,color-agents-by-decile,linear-collection,linear,400,0,0.0757209607308714,0,54.10135,20745
117,50,110,color-agents-by-decile,linear-collection,linear,400,0,0.0757209607308714,0,54.10135,20745
118,50,120,color-agents-by-decile,linear-collection,linear,400,0,0.0757209607308714,0,54.10135,20745
119,50,130,color-agents-by-decile,linear-collection,linear,400,0,0.0757209607308714,0,54.10135,20745
120,50,140,color-agents-by-decile,linear-collection,linear,400,0,0.0757209607308714,0,54.10135,20745
121,50,150,color-agents-by-decile,linear-collection,linear,400,0,0.0757209607308714,0,54.10135,20745
122,50,160,color-agents-by-decile,linear-collection,linear,400,0,0.0757209607308714,0,54.10135,20745
123,50,170,color-agents-by-decile,linear-collection,linear,400,0,0.0757209607308714,0,54.10135,20745
124,50,180,color-agents-by-decile,linear-collection,linear,400,0,0.0757209607308714,0,54.10135,20745
125,50,190,color-agents-by-decile,linear-collection,linear,400,0,0.0757209607308714,0,54.10135,20745
126,50,200,color-agents-by-decile,linear-collection,linear,400,0,0.0757209607308714,0,54.10135,20745
127,60,0,color-agents-by-decile,linear-collection,linear,400,1000,0.0780474753700078,51,40.7738,15915
